,road,county,city,state
12233,Fairmount Street,Los Angeles County,Los Angeles,California
12234,Beach Boulevard,Orange County,Huntington Beach,California
12235,Hafner Street,Alameda County,,California
12236,Old Lakeville Road Number 3,Sonoma County,Petaluma,California
12237,Davis Road,Contra Costa County,,California
12238,Star Ridge Road,Alameda County,,California
12239,Andover Way,Sonoma County,Petaluma,California
12240,West Leeside Street,Los Angeles County,,California
12241,North 3rd Street,Alameda County,Hayward,California
12242,Kemper Street,Los Angeles County,Los Angeles,California
12243,Carlton Way,Los Angeles County,Los Angeles,California
12244,Boyce Avenue,Santa Clara County,Palo Alto,California
12245,Ravens Cove Lane,Alameda County,,California
12246,Masline Street,Los Angeles County,El Monte,California
12247,Pinnacles Drive,Yolo County,,California
12248,Menalto Avenue,San Mateo County,East Palo Alto,California
12249,Neptune Avenue,Los Angeles County,Carson,California
12250,East Main Street,San Diego County,El Cajon,California
12251,Clear Creek Road,Shasta County,Redding,California
12252,Glendale Boulevard,Los Angeles County,Los Angeles,California
12253,Eureka Avenue,Yolo County,,California
12254,San Gabriel River Freeway,Los Angeles County,El Monte,California
12255,East 218th Place,Los Angeles County,Carson,California
12256,Edgewood Court,San Mateo County,Daly City,California
12257,Marin Rod and Gun Club Pier,Marin County,San Rafael,California
12258,Apple Colony Road,Tuolumne County,,California
12259,East 22nd Street,Los Angeles County,Los Angeles,California
12260,19th Street,Los Angeles County,,California
12261,Keeley Drive,Tuolumne County,,California
12262,Saturn Street,Los Angeles County,Los Angeles,California
12263,Boyce Avenue,Santa Clara County,Palo Alto,California
12264,Berkeley Way,,San Francisco,California
12265,Sawmill Road,Butte County,,California
12266,Jacqueline Drive,Contra Costa County,,California
12267,Mahan Court,Placer County,Roseville,California
12268,Bishop Avenue,Santa Clara County,Sunnyvale,California
12269,Avenida Majorca,Orange County,,California
12270,Ellen Lane,Contra Costa County,,California
12271,Avalon Circle,Contra Costa County,,California
12272,Jasper Street,San Bernardino County,Rancho Cucamonga,California
12273,Ohio Avenue,Los Angeles County,Long Beach,California
12274,Flintridge Way,Sacramento County,,California
12275,,Orange County,,California
12276,,Santa Barbara County,,California
12277,Creekhollow Lane,Yolo County,,California
12278,North Oceanview Street,Orange County,Orange,California
12279,Avalon Street,Ventura County,Ventura,California
12280,Helen Street,Los Angeles County,,California
12281,Gordon Street,Los Angeles County,Los Angeles,California
12282,Glorietta Boulevard,San Diego County,,California
12283,Garden Grove Avenue,Los Angeles County,Los Angeles,California
12284,Middlebury Street,Los Angeles County,Los Angeles,California
12285,Moorpark Street,Los Angeles County,Los Angeles,California
12286,2nd Street,Riverside County,,California
12287,Atwood Avenue,Riverside County,Moreno Valley,California
12288,Addington Way,Los Angeles County,,California
12289,Savannah Drive,Los Angeles County,Lancaster,California
12290,Foothill Boulevard,Los Angeles County,,California
12291,South Western Avenue,Los Angeles County,,California
12292,Sunny Ridge Drive,Orange County,,California
12293,South Bender Avenue,Los Angeles County,,California
12294,Warren Avenue,Los Angeles County,Los Angeles,California
12295,Back Bay Drive,Orange County,Newport Beach,California
12296,Ronada Avenue,Alameda County,,California
12297,Hanna Avenue,Kings County,,California
12298,Mount Ackerly Drive,San Diego County,San Diego,California
12299,Franklin Boulevard,Sacramento County,Sacramento,California
12300,West Roderick Avenue,Ventura County,Oxnard,California
12301,Scoggins Court,Solano County,Vacaville,California
12302,John F Foran Freeway,,San Francisco,California
12303,Bill Francis Drive,Placer County,,California
12304,,Sacramento County,,California
12305,Walnut Street,Napa County,Napa,California
12306,Paramount Boulevard,Los Angeles County,Long Beach,California
12307,Monterey Boulevard,Alameda County,Oakland,California
12308,Mira Loma Drive,Santa Barbara County,,California
12309,Niguel Trail,Orange County,,California
12310,Camellia Avenue,Los Angeles County,,California
12311,Terra Brava Place,Santa Clara County,San Jose,California
12312,Derek Drive,Yuba County,,California
12313,Lexington Avenue South,Merced County,,California
12314,Gilman Drive,San Diego County,San Diego,California
12315,Deadmans Flat Road,Nevada County,,California
12316,Mountain View Road,Santa Barbara County,Santa Barbara,California
12317,Folsom Boulevard,Sacramento County,Sacramento,California
12318,North Priscilla Lane,Los Angeles County,Burbank,California
12319,West Magnolia Boulevard,Los Angeles County,Burbank,California
12320,Toledo Road,San Diego County,,California
12321,Loma Vista Drive,Sacramento County,,California
12322,Mowry Avenue,Alameda County,Fremont,California
12323,Bruckner Circle,Santa Clara County,Mountain View,California
12324,Hobart Street,San Mateo County,,California
12325,Dale Street,San Diego County,San Diego,California
12326,North Belle Street,San Bernardino County,San Bernardino,California
12327,Old Town Trail,Fresno County,,California
12328,East Indian School Lane,Riverside County,Banning,California
12329,Eddy Street,,San Francisco,California
12330,Madera Street,Marin County,San Rafael,California
12331,Amador Street,Los Angeles County,El Monte,California
12332,South Manhattan Place,Los Angeles County,Los Angeles,California
12333,Granite Hill Drive,Riverside County,,California
12334,Hauser Boulevard,Los Angeles County,Los Angeles,California
12335,Hollister Street,San Diego County,San Diego,California
12336,South Mission Drive,Los Angeles County,,California
12337,Lane Street,Riverside County,,California
12338,East 2nd Avenue,Orange County,,California
12339,Laidley Street,,San Francisco,California
12340,Sonoma Drive,Sonoma County,Cloverdale,California
12341,Davidson Avenue,San Bernardino County,San Bernardino,California
12342,Rolando Avenue,Alameda County,,California
12343,West View Street,Los Angeles County,Los Angeles,California
12344,Market Street,Alameda County,Oakland,California
12345,Tandy Lane,Sacramento County,,California
12346,Haledon Avenue,Los Angeles County,Downey,California
12347,Haddon Avenue,Los Angeles County,Los Angeles,California
12348,East Main Street,San Diego County,El Cajon,California
12349,Willowbrook Road,Riverside County,,California
12350,Edenhurst Avenue,Los Angeles County,Los Angeles,California
12351,Lassen Street,Los Angeles County,Los Angeles,California
12352,14th Avenue,Sacramento County,Sacramento,California
12353,South Tremaine Avenue,Los Angeles County,Los Angeles,California
12354,Clarkdale Avenue,Los Angeles County,,California
12355,Lucada Street,Ventura County,,California
12356,C Street,San Diego County,Chula Vista,California
12357,East Woodstock Avenue,Orange County,Orange,California
12358,Davis Street,Alameda County,Oakland,California
12359,South Kerckhoff Avenue,Los Angeles County,Los Angeles,California
12360,Enadia Way,Los Angeles County,Los Angeles,California
12361,Junipero Serra Freeway,San Mateo County,Daly City,California
12362,Mariposa Road,San Joaquin County,Stockton,California
12363,Freeman Court,Santa Cruz County,,California
12364,Ocean Park Place South,Los Angeles County,Santa Monica,California
12365,Lakeshore North,Nevada County,,California
12366,Sharynne Lane,Los Angeles County,Torrance,California
12367,Via Del Rey,Los Angeles County,,California
12368,West Pacific Avenue,Los Angeles County,,California
12369,Rouse Avenue,Stanislaus County,Modesto,California
12370,Wilburn Place,Alameda County,Fremont,California
12371,Betty Avenue,Los Angeles County,,California
12372,Bloomfield Street,Los Angeles County,Los Angeles,California
12373,Howe Road,Contra Costa County,,California
12374,Highland Court,Santa Clara County,Santa Clara,California
12375,North Garfield Avenue,Los Angeles County,,California
12376,East Piru Street,Los Angeles County,,California
12377,West Lane,San Joaquin County,Stockton,California
12378,West 77th Street,Los Angeles County,Los Angeles,California
12379,Van Nuys Boulevard,Los Angeles County,Los Angeles,California
12380,Canyon View Drive,Orange County,Laguna Beach,California
12381,East Donner Avenue,Fresno County,Fresno,California
12382,Wallace Road,Sonoma County,Santa Rosa,California
12383,Campus Drive,San Mateo County,San Mateo,California
12384,Lark Avenue,Santa Clara County,,California
12385,Roswell Avenue,San Bernardino County,,California
12386,Garden Square,Riverside County,,California
12387,Paseo del Cajon,Alameda County,,California
12388,Kelton Avenue,Los Angeles County,Los Angeles,California
12389,Degnan Boulevard,Los Angeles County,Los Angeles,California
12390,Petaluma Hill Road,Sonoma County,,California
12391,,Los Angeles County,,California
12392,Santa Monica Freeway,Los Angeles County,Los Angeles,California
12393,East Herring Avenue,Los Angeles County,West Covina,California
12394,Crown Point Drive,San Diego County,San Diego,California
12395,West Manchester Avenue,Los Angeles County,Los Angeles,California
12396,Marlboro Way,Riverside County,Banning,California
12397,East Merion Street,San Bernardino County,Ontario,California
12398,Terracina Boulevard,San Bernardino County,,California
12399,Foothill Freeway,Los Angeles County,,California
12400,Arthur H. Breed Junior Freeway,Alameda County,,California
12401,Stetson Drive,Madera County,,California
12402,Del Monte Avenue,Stanislaus County,Modesto,California
12403,66th Street,Alameda County,Berkeley,California
12404,Lark Street,Alameda County,,California
12405,Pacific Coast Highway,Los Angeles County,Long Beach,California
12406,El Camino Avenue,Solano County,Vacaville,California
12407,,Santa Barbara County,,California
12408,White Wing Lane,Solano County,,California
12409,Casper Street,Orange County,Garden Grove,California
12410,Entryway 2,Contra Costa County,Walnut Creek,California
12411,Lytton Avenue,Santa Clara County,Palo Alto,California
12412,South Beth Circle,Orange County,Anaheim,California
12413,G Hall Road,Sonoma County,,California
12414,Firestone Boulevard,Los Angeles County,,California
12415,57th Avenue,Sacramento County,Sacramento,California
12416,Saipan Drive,Yolo County,,California
12417,Rosanna Scott Memorial Bicycle Trail,Riverside County,Riverside,California
12418,William Avenue,Riverside County,,California
12419,Pachateau Road,Napa County,,California
12420,Utica Street,Alameda County,Hayward,California
12421,Lewis Court,Solano County,Fairfield,California
12422,Dipsea Trail,Marin County,,California
12423,Gala Avenue,San Diego County,San Diego,California
12424,South Road,San Mateo County,,California
12425,West Aster Street,San Bernardino County,,California
12426,Primrose Road,San Mateo County,,California
12427,Bollinger Road,Santa Clara County,Cupertino,California
12428,Del Mar Avenue,Santa Clara County,San Jose,California
12429,Browning Avenue,Fresno County,,California
12430,8th Avenue,Lake County,,California
12431,South Grand Avenue,Los Angeles County,Los Angeles,California
12432,East Centralia Street,Los Angeles County,Long Beach,California
12433,South Crest Avenue,Contra Costa County,,California
12434,South Burlington Avenue,Los Angeles County,Los Angeles,California
12435,Lorain Road,Los Angeles County,,California
12436,North la Reina Street,Orange County,Anaheim,California
12437,Kirkham Street,Alameda County,Oakland,California
12438,Raintree Circle,Los Angeles County,,California
12439,Alemany Boulevard,,San Francisco,California
12440,Osos Street,San Luis Obispo County,San Luis Obispo,California
12441,East Manchester Avenue,Los Angeles County,Los Angeles,California
12442,West Manchester Avenue,Los Angeles County,Los Angeles,California
12443,East 48th Street,Los Angeles County,Los Angeles,California
12444,Doty Avenue,Los Angeles County,Torrance,California
12445,Lagunitas Avenue,Alameda County,Oakland,California
12446,Byron Avenue,Los Angeles County,Los Angeles,California
12447,Keats Avenue,Fresno County,,California
12448,64th Street,Sacramento County,Sacramento,California
12449,Monterey Lane,Los Angeles County,Sierra Madre,California
12450,Vestone Way,Los Angeles County,Los Angeles,California
12451,North Ogden Drive,Los Angeles County,,California
12452,West Manchester Avenue,Los Angeles County,Los Angeles,California
12453,Sprague Court,Alameda County,,California
12454,3rd Avenue,Los Angeles County,Los Angeles,California
12455,Buena Vista Avenue,Orange County,,California
12456,I 80,Sacramento County,,California
12457,Calistoga Avenue,Napa County,Napa,California
12458,Rainbow Lane,San Diego County,Oceanside,California
12459,Vine Avenue,Marin County,,California
12460,Broadway Street,Humboldt County,Eureka,California
12461,Mockingbird Lane,Shasta County,,California
12462,State Street,San Bernardino County,Pomona,California
12463,North Garey Avenue,Los Angeles County,Pomona,California
12464,Salazar Drive,Los Angeles County,El Monte,California
12465,Wilson Avenue,San Diego County,,California
12466,Golden Oak Drive,Shasta County,,California
12467,,San Mateo County,Daly City,California
12468,Shawnee Drive,Riverside County,,California
12469,Buckskin Drive,Orange County,,California
12470,Spring View,Riverside County,Murrieta,California
12471,North 3rd Street,Alameda County,Hayward,California
12472,Park Drive,Kern County,Bakersfield,California
12473,La Luna Avenue,Orange County,,California
12474,Holly Drive,Los Angeles County,Los Angeles,California
12475,East Ponderosa Drive,Ventura County,,California
12476,Sandalia Circle,Orange County,Mission Viejo,California
12477,Canal Road,Contra Costa County,,California
12478,West 65th Street,Los Angeles County,Los Angeles,California
12479,Quill Drive,Los Angeles County,Downey,California
12480,44th Street,San Diego County,San Diego,California
12481,,Los Angeles County,,California
12482,Stern Street,Orange County,,California
12483,West Roderick Avenue,Ventura County,Oxnard,California
12484,Heliotrope Avenue,Los Angeles County,,California
12485,Light Street,Los Angeles County,,California
12486,Woodman Avenue,Los Angeles County,Los Angeles,California
12487,North Frances Street,Santa Clara County,Sunnyvale,California
12488,Victoria Avenue,San Mateo County,,California
12489,Exa Court,Sacramento County,,California
12490,North Main Divide Road,Orange County,,California
12491,Chestnut Street,Orange County,,California
12492,Foothill Boulevard,Alameda County,Oakland,California
12493,Canehill Avenue,Los Angeles County,Long Beach,California
12494,Quisenberry Road,Stanislaus County,,California
12495,Via Seville,San Diego County,,California
12496,West El Camino Real,San Mateo County,Redwood City,California
12497,,Monterey County,,California
12498,San Feliciano Drive,Los Angeles County,Los Angeles,California
12499,Green Valley Avenue,Orange County,,California
12500,Camulos Street,San Diego County,San Diego,California
12501,Central Avenue,Los Angeles County,,California
12502,,San Joaquin County,,California
12503,Ames Street,Los Angeles County,Los Angeles,California
12504,Dougherty Hills Open Space Trail,Alameda County,,California
12505,Solitude Drive,Contra Costa County,,California
12506,East 22nd Street,Los Angeles County,Los Angeles,California
12507,Mount Whitney Court,Contra Costa County,,California
12508,North Bonnie Beach Place,Los Angeles County,,California
12509,Fair Oaks Avenue,Los Angeles County,,California
12510,Georgia Street,Solano County,Vallejo,California
12511,,San Diego County,,California
12512,Incence Road,Tuolumne County,,California
12513,East 77th Street,Los Angeles County,Los Angeles,California
12514,87th Avenue,Alameda County,Oakland,California
12515,Biola Avenue,Los Angeles County,,California
12516,Heather Avenue,Orange County,Garden Grove,California
12517,19th Street,Sacramento County,Sacramento,California
12518,East Palmdale Boulevard,Los Angeles County,Palmdale,California
12519,Sarkesian Drive,Sonoma County,Petaluma,California
12520,Condon Avenue,Los Angeles County,,California
12521,Tuscany Place,Santa Clara County,Cupertino,California
12522,Este Vista Court,San Diego County,,California
12523,West McKenzie Street,Merced County,,California
12524,East Sierra Avenue,Fresno County,Fresno,California
12525,Otto Street,Los Angeles County,Downey,California
12526,East Charleston Road,Santa Clara County,Palo Alto,California
12527,Ironwood Street,Los Angeles County,,California
12528,High Street,Merced County,Atwater,California
12529,Honey Grove Lane,San Luis Obispo County,,California
12530,Brookhurst Street,Orange County,Anaheim,California
12531,Purdue Avenue,Los Angeles County,Los Angeles,California
12532,El Dorado Trail,El Dorado County,,California
12533,Pinewood Drive,Sonoma County,Santa Rosa,California
12534,Huston Street,Los Angeles County,Los Angeles,California
12535,Harwood Street,San Diego County,San Diego,California
12536,William Drive,Sonoma County,,California
12537,Darina Avenue,Sacramento County,Sacramento,California
12538,,Del Norte County,,California
12539,Orion Avenue,Los Angeles County,Los Angeles,California
12540,Depot Road,Alameda County,Hayward,California
12541,Campus Drive,Orange County,Buena Park,California
12542,Cranbrook Court,Yolo County,,California
12543,Miller Road,Sutter County,Yuba City,California
12544,Feliz Drive,Kern County,Bakersfield,California
12545,Wesley Avenue,Los Angeles County,Pasadena,California
12546,,Lassen County,,California
12547,Upper Alcatraz Place,Marin County,,California
12548,East Cypress Street,Los Angeles County,Glendale,California
12549,Hoen Avenue,Sonoma County,Santa Rosa,California
12550,Newland Street,Orange County,Huntington Beach,California
12551,Mercer Street,Los Angeles County,Los Angeles,California
12552,,Riverside County,,California
12553,Beaver Lake Drive,San Diego County,San Diego,California
12554,Queen's Road,Alameda County,,California
12555,Market Street,Alameda County,Oakland,California
12556,Daisetta Street,Los Angeles County,,California
12557,I-110 Metro ExpressLanes,Los Angeles County,Los Angeles,California
12558,University Square Drwy,San Diego County,San Diego,California
12559,Sequoyah View Drive,Alameda County,Oakland,California
12560,166th Place,Los Angeles County,Torrance,California
12561,Hubbard Road,San Joaquin County,,California
12562,Birchsprng Walk,Ventura County,,California
12563,Los Angeles River Bike Path,Los Angeles County,Los Angeles,California
12564,West 4th Street,Sacramento County,,California
12565,Paseo Westpark,Orange County,Irvine,California
12566,Avondale Road,Los Angeles County,,California
12567,Linda Vista Road,San Diego County,San Diego,California
12568,Southwood Drive,Santa Clara County,San Jose,California
12569,East Zayante Road,Santa Cruz County,,California
12570,Central Boulevard,Alameda County,Hayward,California
12571,Highland Street,Monterey County,Seaside,California
12572,Clear Lake Avenue,Lake County,Lakeport,California
12573,Curlew Court,Alameda County,,California
12574,Carson Street,Los Angeles County,Long Beach,California
12575,Calle Alvarado,Riverside County,Palm Springs,California
12576,Phoenix Avenue,Sacramento County,,California
12577,Scadlock Lane,Los Angeles County,Los Angeles,California
12578,Crickett Lane,El Dorado County,,California
12579,Van Nuys Boulevard,Los Angeles County,Los Angeles,California
12580,Nau Avenue,Los Angeles County,Los Angeles,California
12581,11th Street,San Diego County,Imperial Beach,California
12582,Simpson Drive,San Mateo County,Daly City,California
12583,West Legion Road,Imperial County,,California
12584,La Forest Drive,Los Angeles County,,California
12585,Thomas Avenue,,San Francisco,California
12586,North 7th Street,Santa Clara County,San Jose,California
12587,John F Kennedy Drive,,San Francisco,California
12588,Sherman Way,Los Angeles County,Los Angeles,California
12589,Saga Drive,Orange County,Yorba Linda,California
12590,Mohawk Road,San Bernardino County,,California
12591,Lazy Creek Road,Riverside County,,California
12592,Yucca Drive,Imperial County,El Centro,California
12593,East Fiesta - Garden Alley,Ventura County,Port Hueneme,California
12594,Fleming Avenue,Orange County,,California
12595,South Street,Los Angeles County,Long Beach,California
12596,McKnight Drive,Los Angeles County,,California
12597,Mount Diablo Drive,Santa Clara County,San Jose,California
12598,Avondale Avenue,Yuba County,,California
12599,Westmont Drive,Los Angeles County,,California
12600,East Palm Avenue,Los Angeles County,,California
12601,Crown Hill,Orange County,,California
12602,Deodar Lane,Los Angeles County,Bradbury,California
12603,Caminito Banyon,San Diego County,San Diego,California
12604,Minerva Park,Los Angeles County,Long Beach,California
12605,,Los Angeles County,Torrance,California
12606,,Napa County,,California
12607,Stagecoach Road,San Joaquin County,Stockton,California
12608,Windimer Drive,Santa Clara County,,California
12609,West 77th Street,Los Angeles County,Los Angeles,California
12610,North Ayala Drive,San Bernardino County,,California
12611,Summit Avenue,San Bernardino County,,California
12612,18th Street,Monterey County,Pacific Grove,California
12613,Kansas Street,San Mateo County,Redwood City,California
12614,Louisiana Street,San Diego County,San Diego,California
12615,Merlin Drive,Amador County,,California
12616,Varesa,Orange County,Irvine,California
12617,Rose Street,Alameda County,Berkeley,California
12618,Adelaide Street,Contra Costa County,Concord,California
12619,Surrey Avenue,San Bernardino County,,California
12620,Morrow Circle,Orange County,,California
12621,Amherst Drive,Los Angeles County,Burbank,California
12622,,Humboldt County,,California
12623,Prut Road,Butte County,,California
12624,West 23rd Street,Los Angeles County,Los Angeles,California
12625,Santa Ana Freeway,Los Angeles County,,California
12626,Harvey Avenue,Alameda County,Hayward,California
12627,Elliott Drive,San Mateo County,,California
12628,Watson Street,Monterey County,Monterey,California
12629,Alma Street,Santa Clara County,Palo Alto,California
12630,John F Foran Freeway,,San Francisco,California
12631,Loma Drive,Los Angeles County,,California
12632,Grove Shafter Freeway,Alameda County,Oakland,California
12633,Dana Street,Sonoma County,Petaluma,California
12634,Knox Street,Los Angeles County,,California
12635,Floyd Avenue,Stanislaus County,Modesto,California
12636,Longridge Terrace,Los Angeles County,Los Angeles,California
12637,Canada de Alisos Road,Ventura County,,California
12638,Front Street,,San Francisco,California
12639,Glencoe Avenue,Los Angeles County,Los Angeles,California
12640,East Goshen Avenue,Fresno County,Fresno,California
12641,Elkhorn Boulevard,Sacramento County,,California
12642,Village Road,Stanislaus County,Modesto,California
12643,Neptune Avenue,Los Angeles County,Carson,California
12644,Linden Street,Alameda County,Oakland,California
12645,Foster Road,Los Angeles County,Norwalk,California
12646,Val Verde Lane,Kern County,,California
12647,Airstrip Road,Shasta County,Redding,California
12648,Witherby Street,San Diego County,Oceanside,California
12649,South Fairbanks Avenue,Fresno County,,California
12650,East Belmont Avenue,Fresno County,Fresno,California
12651,Grant Street,Riverside County,,California
12652,Frost Drive,Ventura County,Oxnard,California
12653,Wilshire Road,San Diego County,Oceanside,California
12654,South Street,Los Angeles County,,California
12655,Torrey Pines Drive,Nevada County,,California
12656,Del Rey,Orange County,,California
12657,Schabarum-Skyline Trail,Los Angeles County,Walnut,California
12658,E Street,Placer County,Lincoln,California
12659,South Trojan Way,Los Angeles County,West Covina,California
12660,Idena Avenue,Alameda County,,California
12661,Gate Drive,San Diego County,Poway,California
12662,Chapman Drive,Marin County,,California
12663,South Normandie Avenue,Los Angeles County,Los Angeles,California
12664,West 11th Street,Los Angeles County,Los Angeles,California
12665,,Monterey County,,California
12666,Bellevue Avenue,Los Angeles County,Los Angeles,California
12667,Encinal Avenue,Marin County,,California
12668,Titus Avenue,Santa Clara County,,California
12669,East Brisbane Street,Los Angeles County,,California
12670,Napa Street,Marin County,,California
12671,Noakes Street,Los Angeles County,,California
12672,Pike Drive,Napa County,Napa,California
12673,Seaborn Street,Los Angeles County,,California
12674,Pauline Drive,Santa Clara County,Sunnyvale,California
12675,Yolanda Avenue,Los Angeles County,Los Angeles,California
12676,Golden Rain Road,Orange County,,California
12677,15 North 06 Road,Lake County,,California
12678,East 124th Street,Los Angeles County,,California
12679,Hoen Avenue,Sonoma County,Santa Rosa,California
12680,Banning House Road,Los Angeles County,,California
12681,,San Mateo County,,California
12682,Tennessee Street,Solano County,Vallejo,California
12683,Ravenna Avenue,San Luis Obispo County,,California
12684,East Brisbane Street,Los Angeles County,,California
12685,Melrose Drive,Sacramento County,,California
12686,Greenwich Street,,San Francisco,California
12687,North Ogden Drive,Los Angeles County,,California
12688,El Selinda Avenue,Los Angeles County,,California
12689,Levee Road,Yuba County,,California
12690,Tortoise Place,Contra Costa County,Walnut Creek,California
12691,,Santa Barbara County,,California
12692,Spry Street,Los Angeles County,Norwalk,California
12693,Fine Avenue,Fresno County,,California
12694,Huntley Drive,Los Angeles County,,California
12695,,Monterey County,,California
12696,East Twin Palms Drive,Riverside County,Palm Springs,California
12697,Topsanna Road,San Bernardino County,,California
12698,Bastanchury Road,Orange County,Fullerton,California
12699,East Holt Avenue,Los Angeles County,West Covina,California
12700,Poplar Avenue,San Joaquin County,Manteca,California
12701,Faxon Avenue,,San Francisco,California
12702,Hiawatha Street,Los Angeles County,Los Angeles,California
12703,Blossom Valley Drive,Santa Clara County,,California
12704,Johnston Street,Los Angeles County,Los Angeles,California
12705,Middle Ridge Fire Road,Ventura County,Simi Valley,California
12706,Greeley Street,Los Angeles County,Los Angeles,California
12707,Mariposa Avenue,San Mateo County,Daly City,California
12708,Chapman Drive,Marin County,,California
12709,West Roberts Avenue,Fresno County,Fresno,California
12710,Miller Avenue,Stanislaus County,Modesto,California
12711,,Tuolumne County,,California
12712,California Drive,San Mateo County,,California
12713,Big Sky Road,San Diego County,,California
12714,Avenida Victoria,Orange County,San Clemente,California
12715,Bonita Vista Road,Riverside County,,California
12716,Mandevilla Way,Riverside County,Corona,California
12717,Laurel Avenue,San Mateo County,,California
12718,Sacramento Street,,San Francisco,California
12719,Polk Avenue,Orange County,Cypress,California
12720,Lana Lane,San Diego County,San Diego,California
12721,Oakview Drive,Placer County,Roseville,California
12722,Iron Horse Trail,Alameda County,,California
12723,Lolita Road,Riverside County,Temecula,California
12724,Serrano Parkway,El Dorado County,,California
12725,Boarts Road,Imperial County,,California
12726,Sunset Court,San Bernardino County,,California
12727,Fillmore Street,,San Francisco,California
12728,West Las Palmas Drive,Orange County,,California
12729,Suisun Parkway,Solano County,,California
12730,Parkington Avenue,Santa Clara County,Sunnyvale,California
12731,Newmark Avenue,Los Angeles County,,California
12732,Prosperity Avenue,Tulare County,,California
12733,North Fulton Street,Orange County,Anaheim,California
12734,Golden Gate Drive,Napa County,,California
12735,Braddock Street,San Diego County,San Diego,California
12736,20th Street,,San Francisco,California
12737,Ridgway Avenue,Sonoma County,Santa Rosa,California
12738,South Holly Avenue,San Bernardino County,Ontario,California
12739,Dogtown Road,Calaveras County,Angels Camp,California
12740,Skelton Creek Trail,Mariposa County,,California
12741,East Avenue,Alameda County,,California
12742,Benson Avenue,San Bernardino County,,California
12743,Littleton Place,Santa Clara County,,California
12744,Stone Crest Drive,Siskiyou County,,California
12745,Chaparral Circle,Kern County,,California
12746,,Santa Cruz County,,California
12747,Hallbrook Drive,Santa Clara County,San Jose,California
12748,Shanny Avenue,Orange County,,California
12749,Bruckner Circle,Santa Clara County,Mountain View,California
12750,Magellan Drive,Alameda County,Oakland,California
12751,White Sage Trail,Ventura County,Thousand Oaks,California
12752,Ceanothus Avenue,Butte County,Chico,California
12753,Simpson Road,Imperial County,,California
12754,Mariposa Avenue,Alameda County,Oakland,California
12755,,Mariposa County,,California
12756,Fairfield Street,San Bernardino County,Ontario,California
12757,Benjamin Holt Road,San Diego County,San Diego,California
12758,Foster Road,Los Angeles County,Downey,California
12759,Virginia Road,Los Angeles County,Long Beach,California
12760,Joshua Drive,Monterey County,,California
12761,Beechwood Avenue,Los Angeles County,,California
12762,Lake Tahoe Avenue,San Diego County,San Diego,California
12763,Ambler Avenue,Los Angeles County,Carson,California
12764,Washington Street,,San Francisco,California
12765,Contra Costa Boulevard,Contra Costa County,Pleasant Hill,California
12766,Falcon Street,San Diego County,San Diego,California
12767,Speedway,Los Angeles County,,California
12768,Woolston Way,Stanislaus County,Modesto,California
12769,Vista Verde Way,Kern County,Bakersfield,California
12770,Vineland Avenue,Los Angeles County,Los Angeles,California
12771,Coyote Creek Trail,Santa Clara County,San Jose,California
12772,Rose Creek Bike Trail,San Diego County,San Diego,California
12773,South K Street,Ventura County,Oxnard,California
12774,Langdale Avenue,Los Angeles County,Los Angeles,California
12775,,Contra Costa County,,California
12776,Woods End Trail,Orange County,,California
12777,Kirkham Street,,San Francisco,California
12778,Greystone Court,Santa Clara County,Gilroy,California
12779,,Placer County,,California
12780,South Buchanan Circle,Contra Costa County,Concord,California
12781,Park walkway,San Diego County,San Diego,California
12782,West Roderick Avenue,Ventura County,Oxnard,California
12783,Pellet Street,Los Angeles County,Downey,California
12784,Arbol Via,Contra Costa County,,California
12785,Veterans Parkway,San Bernardino County,,California
12786,Mission Street,,San Francisco,California
12787,Mission Boulevard,Riverside County,,California
12788,Chino Street,Santa Barbara County,Santa Barbara,California
12789,,Humboldt County,,California
12790,Plover Circle,Santa Cruz County,,California
12791,West Wooley Road,Ventura County,Oxnard,California
12792,Vineland Avenue,Los Angeles County,Los Angeles,California
12793,Valley View Avenue,Los Angeles County,,California
12794,Mission View Drive,Alameda County,Fremont,California
12795,East 58th Street,Los Angeles County,,California
12796,Vista Grande,San Mateo County,,California
12797,Elinora Drive,Contra Costa County,Pleasant Hill,California
12798,Santa Ynez Avenue,San Luis Obispo County,,California
12799,West Los Olivos Street,Santa Barbara County,Santa Barbara,California
12800,Kelsey Street,Alameda County,Berkeley,California
12801,Citrus Grove Lane,Ventura County,Oxnard,California
12802,Roscoe Boulevard,Los Angeles County,Los Angeles,California
12803,West 155th Street,Los Angeles County,,California
12804,Calle Raquel,Orange County,,California
12805,Ascot Drive,Alameda County,Oakland,California
12806,Harris Court,Sonoma County,Santa Rosa,California
12807,Central Avenue,Humboldt County,,California
12808,,Plumas County,,California
12809,Cranston Way,Sacramento County,Sacramento,California
12810,Barbara Ann Street,Los Angeles County,Los Angeles,California
12811,Mount Ararat Drive,San Diego County,San Diego,California
12812,Santa Ana Freeway,Orange County,,California
12813,Michell Street,Alameda County,,California
12814,Bernard Street,Kern County,Bakersfield,California
12815,King Street,Kern County,Bakersfield,California
12816,Tweddell Road,Lassen County,,California
12817,Santa Clara Avenue,Ventura County,Oxnard,California
12818,K Street,Humboldt County,,California
12819,West 41st Street,Los Angeles County,Los Angeles,California
12820,William Avenue,Riverside County,,California
12821,East 124th Street,Los Angeles County,,California
12822,Claremont Avenue,Alameda County,Oakland,California
12823,40th Avenue,,San Francisco,California
